player_id,player_name,recent_team,season,week,position,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fantasy_points_ppr
00-0031280,D.Carr,NO,2023,10,QB,13,18,110.0,0,0.0,1,10.0,0,0,0,0.0,0,5.4
00-0031381,D.Adams,LV,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,13,6,86.0,0,14.6
00-0031408,M.Evans,TB,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,10,6,143.0,1,26.3
00-0031484,C.Manhertz,DEN,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,6.0,0,1.6
00-0031503,J.Winston,NO,2023,10,QB,13,25,122.0,2,2.0,0,0.0,0,0,0,0.0,0,8.88
00-0031544,A.Cooper,CLE,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,9,6,98.0,0,15.8
00-0031549,N.Agholor,BAL,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,2,0,0.0,0,0.0
00-0031588,S.Diggs,BUF,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,5,3,34.0,0,6.4
00-0031763,D.Carter,LV,2023,10,WR,0,0,0.0,0,0.0,1,15.0,0,0,0,0.0,0,1.5
00-0031800,T.Heinicke,ATL,2023,10,QB,8,15,55.0,1,0.0,4,34.0,0,0,0,0.0,0,9.6
00-0031941,J.Crowder,WAS,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0032104,A.Abdullah,LV,2023,10,RB,0,0,0.0,0,0.0,0,0.0,0,1,1,4.0,0,1.4
00-0032134,C.Uzomah,NYJ,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,6.0,0,1.6
00-0032141,G.Swaim,ARI,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,2,2,13.0,0,3.3
00-0032211,T.Lockett,SEA,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,10,8,92.0,1,23.2
00-0032385,S.Shepard,NYG,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,4,1,2.0,1,7.2
00-0032392,A.Hooper,LV,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,1,1,7.0,0,1.7
00-0032398,C.Moore,TEN,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,4,2,21.0,0,4.1
00-0032464,K.Raymond,DET,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,4,2,46.0,0,6.6
00-0032764,D.Henry,TEN,2023,10,RB,0,0,0.0,0,0.0,11,24.0,0,1,1,-4.0,0,3.0
00-0032765,M.Thomas,NO,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,2,1,9.0,0,1.9
00-0033009,T.Boyd,CIN,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,12,8,117.0,0,19.7
00-0033045,E.Elliott,NE,2023,10,RB,0,0,0.0,0,0.0,13,54.0,0,2,2,34.0,0,10.8
00-0033077,D.Prescott,DAL,2023,10,QB,26,35,404.0,4,1.0,2,17.0,1,0,0,0.0,0,37.86
00-0033090,H.Henry,NE,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,5,3,21.0,0,5.1
00-0033106,J.Goff,DET,2023,10,QB,23,33,333.0,2,0.0,3,-2.0,0,0,0,0.0,0,21.12
00-0033217,M.Alie-Cox,IND,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0033246,J.Mundt,MIN,2023,10,TE,0,0,0.0,0,0.0,0,0.0,0,2,2,8.0,0,2.8
00-0033251,Z.Pascal,ARI,2023,10,WR,0,0,0.0,0,0.0,0,0.0,0,1,0,0.0,0,0.0
00-0033275,P.Walker,CLE,2023,10,QB,0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
00-0033280,C.McCaffrey,SF,2023,10,RB,0,0,0.0,0,0.0,16,95.0,0,10,6,47.0,0,20.2
